seller_simple_id,zip_code_prefix,seller_city,seller_state,simple_id
SEL001,13023,campinas,SP,1
SEL002,13844,mogi guacu,SP,2
SEL003,20031,rio de janeiro,RJ,3
SEL004,4195,sao paulo,SP,4
SEL005,12914,braganca paulista,SP,5
SEL006,20920,rio de janeiro,RJ,6
SEL007,55325,brejao,PE,7
SEL008,16304,penapolis,SP,8
SEL009,1529,sao paulo,SP,9
SEL010,80310,curitiba,PR,10
SEL011,75110,anapolis,GO,11
SEL012,13530,itirapina,SP,12
SEL013,1222,sao paulo,SP,13
SEL014,5372,sao paulo,SP,14
SEL015,88705,tubarao,SC,15
SEL016,42738,lauro de freitas,BA,16
SEL017,88780,imbituba,SC,17
SEL018,70740,brasilia,DF,18
SEL019,45810,porto seguro,BA,19
SEL020,5138,sao paulo,SP,20
SEL021,11440,guaruja,SP,21
SEL022,14910,tabatinga,SP,22
SEL023,4156,sao paulo,SP,23
SEL024,13320,salto,SP,24
SEL025,98910,tres de maio,RS,25
SEL026,30494,belo horizonte,MG,26
SEL027,86707,arapongas,PR,27
SEL028,9850,sao bernardo do campo,SP,28
SEL029,4857,sao paulo,SP,29
SEL030,18500,tatui,SP,30
SEL031,80210,curitiba,PR,31
SEL032,2261,sao paulo,SP,32
SEL033,88495,garopaba,SC,33
SEL034,3562,sao paulo,SP,34
SEL035,37650,camanducaia,MG,35
SEL036,17602,tupa,SP,36
SEL037,7241,guarulhos,SP,37
SEL038,83050,sao jose dos pinhais,PR,38
SEL039,3445,sao paulo,SP,39
SEL040,4133,sao paulo,SP,40
SEL041,72233,brasilia,DF,41
SEL042,70645,brasilia,DF,42
SEL043,88730,sao ludgero,SC,43
SEL044,88075,sao jose,SC,44
SEL045,13416,piracicaba,SP,45
SEL046,90850,porto alegre,RS,46
SEL047,37584,congonhal,MG,47
SEL048,31950,belo horizonte,MG,48
SEL049,31555,belo horizonte,MG,49
SEL050,9251,santo andre,SP,50
SEL051,4705,sao paulo,SP,51
SEL052,6144,osasco,SP,52
SEL053,13270,valinhos,SP,53
SEL054,89214,joinville,SC,54
SEL055,11446,guaruja,SP,55
SEL056,28990,saquarema,RJ,56
SEL057,88390,barra velha,SC,57
SEL058,25730,petropolis,RJ,58
SEL059,95500,santo antonio da patrulha,RS,59
SEL060,84010,ponta grossa,PR,60
SEL061,6544,santana de parnaiba,SP,61
SEL062,9121,santo andre,SP,62
SEL063,13568,sao carlos,SP,63
SEL064,6056,osasco,SP,64
SEL065,14940,ibitinga,SP,65
SEL066,5741,sao paulo,SP,66
SEL067,83010,sao jose dos pinhais,PR,67
SEL068,3702,sao paulo,SP,68
SEL069,6429,barueri,SP,69
SEL070,6192,osasco,SP,70
SEL071,95076,caxias do sul,SP,71
SEL072,3569,sao paulo,SP,72
SEL073,89207,joinville,SC,73
SEL074,38440,araguari,MG,74
SEL075,32180,contagem,MG,75
SEL076,89258,jaragua do sul,SC,76
SEL077,14940,ibitinga,SP,77
SEL078,9715,sao bernardo do campo,SP,78
SEL079,88501,lages - sc,SC,79
SEL080,95711,bento goncalves,RS,80
SEL081,15805,catanduva,SP,81
SEL082,9400,ribeirao pires,SP,82
SEL083,4726,sao paulo,SP,83
SEL084,14882,jaboticabal,SP,84
SEL085,19830,echapora,SP,85
SEL086,6713,cotia,SP,86
SEL087,89160,rio do sul,SC,87
SEL088,4275,sao paulo,SP,88
SEL089,18040,sorocaba,SP,89
SEL090,21235,rio de janeiro,RJ,90
SEL091,14850,pradopolis,SP,91
SEL092,22420,rio de janeiro,RJ,92
SEL093,1125,sao paulo,SP,93
SEL094,24813,itaborai,RJ,94
SEL095,5786,sao paulo,SP,95
SEL096,15137,mirassol,SP,96
SEL097,9190,santo andre,SP,97
SEL098,16200,birigui,SP,98
SEL099,3569,sao paulo,SP,99
SEL100,31730,belo horizonte,MG,100
SEL101,20785,rio de janeiro,RJ,101
SEL102,20060,rio de janeiro,RJ,102
SEL103,14940,ibitinga,SP,103
SEL104,12401,sao paulo,SP,104
SEL105,1425,sao paulo,SP,105
SEL106,19803,assis,SP,106
SEL107,13820,jaguariuna,SP,107
SEL108,14801,araraquara,SP,108
SEL109,27963,macae,RJ,109
SEL110,13320,salto,SP,110
SEL111,13504,rio claro,SP,111
SEL112,86039,londrina,PR,112
SEL113,5101,sao paulo,SP,113
SEL114,14010,ribeirao preto,SP,114
SEL115,21210,rio de janeiro,RN,115
SEL116,37410,tres coracoes,MG,116
SEL117,4248,sao paulo,SP,117
SEL118,15190,nhandeara,SP,118
SEL119,14940,ibitinga,SP,119
SEL120,3514,sao paulo,SP,120
SEL121,71070,brasilia,DF,121
SEL122,6465,barueri,SP,122
SEL123,1044,sao paulo,SP,123
SEL124,88870,orleans,SC,124
SEL125,70384,brasilia,DF,125
SEL126,2310,sao paulo,SP,126
SEL127,2016,sao paulo,SP,127
SEL128,78095,cuiaba,MT,128
SEL129,13575,sao carlos,SP,129
SEL130,1040,sao paulo,SP,130
SEL131,3322,sao paulo,SP,131
SEL132,20261,rio de janeiro,RJ,132
SEL133,85830,formosa do oeste,PR,133
SEL134,23550,rio de janeiro,RJ,134
SEL135,11085,santos,SP,135
SEL136,3417,sao paulo,SP,136
SEL137,76500,santa terezinha de goias,GO,137
SEL138,81210,curitiba,PR,138
SEL139,8260,sao paulo,SP,139
SEL140,95995,arvorezinha,RS,140
SEL141,4674,sao paulo,SP,141
SEL142,14020,ribeirao preto,SP,142
SEL143,36525,guiricema,MG,143
SEL144,95072,caxias do sul,RS,144
SEL145,55004,caruaru,PE,145
SEL146,80045,curitiba,PR,146
SEL147,14401,franca,SP,147
SEL148,81030,curitiba,PR,148
SEL149,40243,salvador,BA,149
SEL150,9951,diadema,SP,150
SEL151,8573,itaquaquecetuba,SP,151
SEL152,18682,lencois paulista,SP,152
SEL153,7091,guarulhos,SP,153
SEL154,6341,carapicuiba,SP,154
SEL155,76400,uruacu,GO,155
SEL156,88301,itajai,SC,156
SEL157,3280,sao paulo,SP,157
SEL158,1545,sao paulo,SP,158
SEL159,1026,sao paulo,SP,159
SEL160,80620,curitiba,PR,160
SEL161,87900,loanda,PR,161
SEL162,3186,sao paulo,SP,162
SEL163,19400,sao paulo,SP,163
SEL164,2839,sao paulo,SP,164
SEL165,87014,maringa,PR,165
SEL166,1207,sao paulo,SP,166
SEL167,1411,sao paulo,SP,167
SEL168,30190,belo horizonte,MG,168
SEL169,8502,ferraz de vasconcelos,SP,169
SEL170,1541,sao paulo,SP,170
SEL171,13481,limeira,SP,171
SEL172,11040,santos,SP,172
SEL173,6436,barueri,SP,173
SEL174,2310,sao paulo,SP,174
SEL175,35530,claudio,MG,175
SEL176,14080,ribeirao preto,SP,176
SEL177,24355,niteroi,RJ,177
SEL178,17700,osvaldo cruz,SP,178
SEL179,6380,carapicuiba,SP,179
SEL180,6016,osasco,SP,180
SEL181,24451,sao goncalo,RJ,181
SEL182,78820,jaciara,MT,182
SEL183,88330,balenario camboriu,SC,183
SEL184,4009,sao paulo,SP,184
SEL185,89120,timbo,SC,185
SEL186,14075,ribeirao preto,SP,186
SEL187,5424,sao paulo,SP,187
SEL188,99730,jacutinga,RS,188
SEL189,60440,fortaleza,CE,189
SEL190,7242,guarulhos,SP,190
SEL191,7051,guarulhos,SP,191
SEL192,8517,ferraz de  vasconcelos,SP,192
SEL193,16800,mirandopolis,SP,193
SEL194,89228,joinville,SC,194
SEL195,30421,belo horizonte,MG,195
SEL196,17056,bauru,SP,196
SEL197,12308,jacarei,SP,197
SEL198,13304,itu,SP,198
SEL199,85301,laranjeiras do sul,SP,199
SEL200,3554,sao paulo,SP,200
SEL201,89560,videira,SC,201
SEL202,88058,florianopolis,SC,202
SEL203,6853,itapecerica da serra,SP,203
SEL204,58280,mamanguape,PB,204
SEL205,8490,sao paulo,SP,205
SEL206,35430,ponte nova,MG,206
SEL207,87360,goioere,SP,207
SEL208,17280,pederneiras,SP,208
SEL209,6653,itapevi,SP,209
SEL210,74563,goiania,GO,210
SEL211,4821,sao paulo,SP,211
SEL212,21820,rio de janeiro,RJ,212
SEL213,1026,sao paulo,SP,213
SEL214,3308,sao paulo,SP,214
SEL215,95070,caxias do sul,RS,215
SEL216,9640,sao bernardo do campo,SP,216
SEL217,58400,campina grande,PB,217
SEL218,93608,estancia velha,RS,218
SEL219,27525,resende,RJ,219
SEL220,89251,jaragua do sul,SC,220
SEL221,2215,sao paulo,SP,221
SEL222,5524,sao paulo,SP,222
SEL223,22790,rio de janeiro,RJ,223
SEL224,8041,sao paulo,SP,224
SEL225,5715,sao paulo,SP,225
SEL226,88032,florianopolis,SC,226
SEL227,18055,sorocaba,SP,227
SEL228,2112,sao paulo,SP,228
SEL229,14075,ribeirao preto,SP,229
SEL230,18048,sorocaba,SP,230
SEL231,9336,maua,SP,231
SEL232,17030,bauru,SP,232
SEL233,17052,bauru,SP,233
SEL234,30620,belo horizonte,MG,234
SEL235,13327,salto,SP,235
SEL236,74343,goiania,GO,236
SEL237,35300,caratinga,MG,237
SEL238,15350,auriflama/sp,SP,238
SEL239,21240,rio de janeiro,RJ,239
SEL240,14407,franca,SP,240
SEL241,16500,cafelandia,SP,241
SEL242,2518,sao paulo,SP,242
SEL243,14050,ribeirao preto,SP,243
SEL244,88730,sao ludgero,SC,244
SEL245,36502,uba,MG,245
SEL246,9751,sao bernardo do campo,SP,246
SEL247,3407,sao paulo / sao paulo,SP,247
SEL248,14940,ibitinga,SP,248
SEL249,87035,maringa,PR,249
SEL250,15062,sao jose do rio preto,SP,250
SEL251,13064,campinas,SP,251
SEL252,21020,rio de janeiro,RJ,252
SEL253,13660,porto ferreira,SP,253
SEL254,95660,tres coroas,RS,254
SEL255,9080,santo andre,SP,255
SEL256,89031,blumenau,SC,256
SEL257,9110,santo andre,SP,257
SEL258,9230,santo andre,SP,258
SEL259,3951,sao paulo,SP,259
SEL260,3172,sao paulo,SP,260
SEL261,3334,sao paulo,SP,261
SEL262,89070,blumenau,SC,262
SEL263,8773,mogi das cruzes,SP,263
SEL264,11013,santos,SP,264
SEL265,6286,osasco,SP,265
SEL266,15155,jaci,SP,266
SEL267,35530,claudio,MG,267
SEL268,74045,goiania,GO,268
SEL269,18500,laranjal paulista,SP,269
SEL270,18048,sorocaba,SP,270
SEL271,1126,sao paulo,SP,271
SEL272,13478,americana,SP,272
SEL273,1303,sao paulo,SP,273
SEL274,2739,sao paulo,SP,274
SEL275,20921,rio de janeiro,RJ,275
SEL276,86170,sertanopolis,SP,276
SEL277,14940,ibitinga,SP,277
SEL278,86808,apucarana,PR,278
SEL279,15046,sao jose do rio preto,SP,279
SEL280,22230,rio de janeiro,RJ,280
SEL281,87035,maringa,PR,281
SEL282,4102,sao paulo,SP,282
SEL283,7052,guarulhos,SP,283
SEL284,16301,penapolis,SP,284
SEL285,24020,niteroi,RJ,285
SEL286,89204,joinville,SC,286
SEL287,83408,colombo,PR,287
SEL288,11450,vicente de carvalho,SP,288
SEL289,26562,mesquita,RJ,289
SEL290,86010,londrina,PR,290
SEL291,2051,sao pauo,SP,291
SEL292,88056,florianopolis,SC,292
SEL293,30550,belo horizonte,MG,293
SEL294,2820,sao paulo,SP,294
SEL295,85802,cascavel,PR,295
SEL296,83830,fazenda rio grande,PR,296
SEL297,4508,sao paulo,SP,297
SEL298,6775,taboao da serra,SP,298
SEL299,1550,sao paulo,SP,299
SEL300,22783,rio de janeiro,RJ,300
SEL301,81070,curitiba,PR,301
SEL302,4716,sao paulo,SP,302
SEL303,12233,sao jose dos campos,SP,303
SEL304,7084,guarulhos,SP,304
SEL305,3384,sao paulo,SP,305
SEL306,85903,toledo,PR,306
SEL307,82510,curitiba,PR,307
SEL308,15081,sao jose do rio preto,SP,308
SEL309,8411,sao paulo,SP,309
SEL310,17047,bauru,SP,310
SEL311,11045,santos,SP,311
SEL312,85960,marechal candido rondon,SP,312
SEL313,80010,curitiba,PR,313
SEL314,8710,mogi das cruzes,SP,314
SEL315,91130,porto alegre,RS,315
SEL316,12238,sao jose dos campos,SP,316
SEL317,6236,osasco,SP,317
SEL318,13203,jundiai,SP,318
SEL319,83800,mandirituba,PR,319
SEL320,3551,sao paulo,SP,320
SEL321,8655,suzano,SP,321
SEL322,33200,vespasiano,MG,322
SEL323,80040,curitiba,PR,323
SEL324,20735,rio de janeiro,RJ,324
SEL325,89031,blumenau,SC,325
SEL326,1417,sao paulo,SP,326
SEL327,98780,santa rosa,RS,327
SEL328,15015,sao jose do rio preto,SP,328
SEL329,14600,sao joaquim da barra,SP,329
SEL330,5125,sao paulo,SP,330
SEL331,81050,curitiba,PR,331
SEL332,13830,santo antonio de posse,SP,332
SEL333,1212,sao paulo,SP,333
SEL334,97502,uruguaiana,RS,334
SEL335,80215,curitiba,PR,335
SEL336,6703,cotia,SP,336
SEL337,13480,limeira,SP,337
SEL338,37400,campanha,MG,338
SEL339,14940,ibitinga,SP,339
SEL340,4811,sao paulo,SP,340
SEL341,75640,piracanjuba,GO,341
SEL342,3306,sao paulo,SP,342
SEL343,95034,caxias do sul,RS,343
SEL344,30640,belo horizonte,MG,344
SEL345,89701,concordia,SC,345
SEL346,2880,sao paulo,SP,346
SEL347,3688,sao paulo,SP,347
SEL348,74043,goiania,GO,348
SEL349,37540,santa rita do sapucai,MG,349
SEL350,81925,curitiba,PR,350
SEL351,6246,osasco,SP,351
SEL352,80510,curitiba,PR,352
SEL353,80240,curitiba,PR,353
SEL354,14780,barretos,SP,354
SEL355,13330,indaiatuba,SP,355
SEL356,26525,nilopolis,RJ,356
SEL357,9380,maua,SP,357
SEL358,17580,pompeia,SP,358
SEL359,44895,barro alto,BA,359
SEL360,13840,mogi guacu,SP,360
SEL361,4557,são paulo,SP,361
SEL362,4311,sao paulo,SP,362
SEL363,11702,praia grande,SP,363
SEL364,14406,franca,SP,364
SEL365,22783,rio de janeiro,SP,365
SEL366,89128,luiz alves,SC,366
SEL367,2036,sao paulo,SP,367
SEL368,6038,osasco,SP,368
SEL369,88351,brusque,SC,369
SEL370,88804,criciuma,SC,370
SEL371,5729,sao paulo,SP,371
SEL372,6519,santana de parnaiba,SP,372
SEL373,6016,osasco,SP,373
SEL374,89222,joinville,SC,374
SEL375,2252,sao paulo,SP,375
SEL376,7179,guarulhos,SP,376
SEL377,31050,belo horizonte,MG,377
SEL378,13480,limeira,SP,378
SEL379,15805,catanduva,SP,379
SEL380,89052,blumenau,SC,380
SEL381,31255,belo horizonte,MG,381
SEL382,15704,jales,SP,382
SEL383,20270,rio de janeiro,RJ,383
SEL384,86060,londrina,PR,384
SEL385,12944,atibaia,SP,385
SEL386,69900,rio branco,AC,386
SEL387,86046,londrina,PR,387
SEL388,27321,barra mansa,RJ,388
SEL389,5632,sao paulo,SP,389
SEL390,3161,sao paulo,SP,390
SEL391,4782,sao paulo,SP,391
SEL392,14403,franca,SP,392
SEL393,87013,maringa,PR,393
SEL394,9405,ribeirao pires,SP,394
SEL395,2310,sao paulo,SP,395
SEL396,4363,sao paulo,SP,396
SEL397,1539,sao paulo,SP,397
SEL398,13560,sao carlos,SP,398
SEL399,2238,sao paulo,SP,399
SEL400,15055,sao jose do rio preto,SP,400
SEL401,82220,curitiba,PR,401
SEL402,17520,marilia,SP,402
SEL403,3060,sao paulo,SP,403
SEL404,9443,ribeirao pires,SP,404
SEL405,14096,ribeirao preto,SP,405
SEL406,48602,bahia,BA,406
SEL407,91740,porto alegre,RS,407
SEL408,86047,londrina,PR,408
SEL409,85807,cascavel,PR,409
SEL410,12020,taubate,SP,410
SEL411,85802,cascavael,PR,411
SEL412,1320,sao paulo,SP,412
SEL413,12250,monteiro lobato,SP,413
SEL414,81250,curitiba,PR,414
SEL415,29138,viana,ES,415
SEL416,7145,guarulhos,SP,416
SEL417,88107,sao jose,SC,417
SEL418,25850,paraiba do sul,RJ,418
SEL419,13730,mococa,SP,419
SEL420,18130,sao roque,SP,420
SEL421,37900,passos,MG,421
SEL422,14940,ibitinga,SP,422
SEL423,85603,francisco beltrao,PR,423
SEL424,3821,sao paulo,SP,424
SEL425,36512,tocantins,SP,425
SEL426,76400,uruacu,GO,426
SEL427,87083,maringa,PR,427
SEL428,74473,goiania,GO,428
SEL429,21931,rio de janeiro,RJ,429
SEL430,14055,ribeirao preto,SP,430
SEL431,88210,porto belo,SC,431
SEL432,13105,campinas,SP,432
SEL433,26255,nova iguacu,RJ,433
SEL434,3343,sao paulo,SP,434
SEL435,17512,marilia,SP,435
SEL436,88820,icara,SC,436
SEL437,3543,sao paulo,SP,437
SEL438,95910,lajeado,RS,438
SEL439,3694,sao paulo,SP,439
SEL440,3029,sao paulo,SP,440
SEL441,37540,santa rita do sapucai,MG,441
SEL442,13042,campinas,SP,442
SEL443,1201,sao paulo,SP,443
SEL444,9230,santo andre,SP,444
SEL445,88359,brusque,SC,445
SEL446,98920,horizontina,RS,446
SEL447,4364,sao paulo,SP,447
SEL448,3416,sao paulo,SP,448
SEL449,9350,maua,SP,449
SEL450,1214,sao paulo,SP,450
SEL451,2880,sao paulo,SP,451
SEL452,9220,santo andre,SP,452
SEL453,18110,votorantim,SP,453
SEL454,35530,claudio,MG,454
SEL455,93700,campo bom,RS,455
SEL456,3659,sao paulo,SP,456
SEL457,1123,sao paulo,SP,457
SEL458,15910,monte alto,SP,458
SEL459,3103,sao paulo,SP,459
SEL460,14078,ribeirao preto,SP,460
SEL461,15601,fernandopolis,SP,461
SEL462,89041,blumenau,SC,462
SEL463,17500,marilia,SP,463
SEL464,84010,ponta grossa,PR,464
SEL465,7093,guarulhos,SP,465
SEL466,31560,belo horizonte,MG,466
SEL467,13920,pedreira,SP,467
SEL468,86800,apucarana,PR,468
SEL469,7062,guarulhos,SP,469
SEL470,88351,brusque,SC,470
SEL471,8550,poa,SP,471
SEL472,3471,sao paulo,SP,472
SEL473,87047,maringa,PR,473
SEL474,82040,curitiba,PR,474
SEL475,15025,sao jose do rio preto,SP,475
SEL476,35500,divinopolis,MG,476
SEL477,13450,santa barbara d´oeste,SP,477
SEL478,92025,canoas,RS,478
SEL479,13310,itu,SP,479
SEL480,89217,joinville,SC,480
SEL481,13375,mombuca,SP,481
SEL482,9628,sao bernardo do campo,SP,482
SEL483,6539,santana de parnaiba,SP,483
SEL484,81350,curitiba,PR,484
SEL485,86040,londrina,PR,485
SEL486,14405,franca,SP,486
SEL487,35700,sete lagoas,MG,487
SEL488,37165,campo do meio,MG,488
SEL489,85904,toledo,PR,489
SEL490,8780,mogi das cruzes,SP,490
SEL491,13219,jundiai,SP,491
SEL492,17509,marilia,SP,492
SEL493,60741,fortaleza,CE,493
SEL494,3311,sao paulo,SP,494
SEL495,13490,cordeiropolis,SP,495
SEL496,38410,uberlandia,MG,496
SEL497,75123,anapolis,GO,497
SEL498,14092,ribeirao preto,SP,498
SEL499,15085,sao jose do rio preto,SP,499
SEL500,4578,sao paulo,SP,500
SEL501,91310,porto alegre,RS,501
SEL502,20756,rio de janeiro,RJ,502
SEL503,1233,sao paulo,SP,503
SEL504,8223,sao paulo,SP,504
SEL505,4782,sao paulo,SP,505
SEL506,83402,colombo,PR,506
SEL507,9920,diadema,SP,507
SEL508,13419,piracicaba,SP,508
SEL509,20021,rio de janeiro,RJ,509
SEL510,18072,sorocaba,SP,510
SEL511,13456,santa barbara d oeste,SP,511
SEL512,13920,pedreira,SP,512
SEL513,86702,arapongas,PR,513
SEL514,27277,volta redonda,SP,514
SEL515,13660,porto ferreira,SP,515
SEL516,89030,blumenau,SC,516
SEL517,6787,taboao da serra,SP,517
SEL518,22790,04482255,RJ,518
SEL519,16072,aracatuba,SP,519
SEL520,81830,curitiba,PR,520
SEL521,74210,goiania,GO,521
SEL522,16200,birigui,SP,522
SEL523,18070,sorocaba,SP,523
SEL524,37580,monte siao,MG,524
SEL525,13073,campinas,SP,525
SEL526,89248,garuva,SC,526
SEL527,38650,bonfinopolis de minas,MG,527
SEL528,13150,cosmopolis,SP,528
SEL529,14092,ribeirao preto,SP,529
SEL530,15800,catanduva,SP,530
SEL531,1215,sao paulo,SP,531
SEL532,24451,sao goncalo,RJ,532
SEL533,4386,sao paulo,SP,533
SEL534,5547,sao paulo,SP,534
SEL535,21070,rio de janeiro,RJ,535
SEL536,37706,pocos de caldas,MG,536
SEL537,24725,sao goncalo,RJ,537
SEL538,13160,artur nogueira,SP,538
SEL539,11015,santos,SP,539
SEL540,4209,sao paulo,SP,540
SEL541,30575,belo horizonte,MG,541
SEL542,6513,santana de parnaiba,SP,542
SEL543,20520,rio de janeiro,RJ,543
SEL544,58030,joao pessoa,PB,544
SEL545,17300,dois corregos,SP,545
SEL546,89245,araquari,SC,546
SEL547,1220,sao paulo,SP,547
SEL548,90230,porto alegre,RS,548
SEL549,83075,sao jose dos pinhais,PR,549
SEL550,31570,belo horizonte,SP,550
SEL551,36500,uba,MG,551
SEL552,93310,"novo hamburgo, rio grande do sul, brasil",RS,552
SEL553,84035,ponta grossa,PR,553
SEL554,80330,curitiba,PR,554
SEL555,89218,joinville,SC,555
SEL556,88056,floranopolis,SC,556
SEL557,15155,jaci,SP,557
SEL558,13170,sumare,SP,558
SEL559,83070,sao jose dos pinhais,PR,559
SEL560,9350,maua,SP,560
SEL561,85980,guaira,PR,561
SEL562,2118,sao paulo,SP,562
SEL563,12242,sao jose dos campos,SP,563
SEL564,29313,cachoeiro de itapemirim,ES,564
SEL565,14150,serrana,SP,565
SEL566,5108,sao paulo,SP,566
SEL567,86604,rolandia,PR,567
SEL568,4360,sao paulo,SP,568
SEL569,23062,rio de janeiro,RJ,569
SEL570,3029,sao paulo,SP,570
SEL571,4054,sao paulo,SP,571
SEL572,36415,congonhas,MG,572
SEL573,15046,sao jose do rio preto,SP,573
SEL574,5537,sao paulo,SP,574
SEL575,12943,atibaia,SP,575
SEL576,6852,itapecerica da serra,SP,576
SEL577,83091,sao  jose dos pinhais,PR,577
SEL578,18035,sorocaba,SP,578
SEL579,18550,boituva,SP,579
SEL580,13405,piracicaba,SP,580
SEL581,3275,sao paulo,SP,581
SEL582,14400,franca,SP,582
SEL583,88495,garopaba,SC,583
SEL584,90010,porto alegre,RS,584
SEL585,17604,tupa,SP,585
SEL586,3612,sao paulo,SP,586
SEL587,5268,sao paulo,SP,587
SEL588,13660,porto ferreira,SP,588
SEL589,3059,sao paulo,SP,589
SEL590,7600,mairipora,SP,590
SEL591,1547,sao paulo,SP,591
SEL592,13041,campinas,SP,592
SEL593,16480,guaimbe,SP,593
SEL594,95360,parai,RS,594
SEL595,17700,osvaldo cruz,SP,595
SEL596,9862,sao bernardo do campo,SP,596
SEL597,37706,pocos de caldas,MG,597
SEL598,28495,aperibe,RJ,598
SEL599,35500,divinopolis,MG,599
SEL600,1021,sao paulo,SP,600
SEL601,17605,tupa,SP,601
SEL602,80610,curitiba,PR,602
SEL603,18053,sorocaba,SP,603
SEL604,88715,jaguaruna,SC,604
SEL605,86707,arapongas,PR,605
SEL606,26210,nova iguacu,RJ,606
SEL607,8250,sao paulo,SP,607
SEL608,29101,vila velha,SP,608
SEL609,14801,araraquara,SP,609
SEL610,9182,santo andre,SP,610
SEL611,89210,joinville,SC,611
SEL612,13085,campinas,SP,612
SEL613,21070,rio de janeiro,RJ,613
SEL614,7194,guarulhos,SP,614
SEL615,36052,juiz de fora,MG,615
SEL616,23080,rio de janeiro,RJ,616
SEL617,38230,fronteira,MG,617
SEL618,14960,novo horizonte,SP,618
SEL619,18185,pilar do sul,SP,619
SEL620,15840,itajobi,SP,620
SEL621,87050,maringa,PR,621
SEL622,4815,sao paulo,SP,622
SEL623,29142,cariacica / es,ES,623
SEL624,36320,prados,MG,624
SEL625,88020,florianopolis,SC,625
SEL626,13560,sao carlos,SP,626
SEL627,11065,santos,SP,627
SEL628,8598,itaquaquecetuba,SP,628
SEL629,62170,mucambo,CE,629
SEL630,83409,colombo,PR,630
SEL631,13504,rio claro,SP,631
SEL632,14940,ibitinga,SP,632
SEL633,95705,bento goncalves,RS,633
SEL634,4041,sao paulo,SP,634
SEL635,12080,taubate,SP,635
SEL636,81210,curitiba,PR,636
SEL637,87050,maringa,PR,637
SEL638,86026,londrina,PR,638
SEL639,1244,sao paulo,SP,639
SEL640,39400,montes claros,MG,640
SEL641,82810,curitiba,PR,641
SEL642,4613,sao paulo,SP,642
SEL643,9694,sao bernardo do campo,SP,643
SEL644,11701,praia grande,SP,644
SEL645,7152,guarulhos,SP,645
SEL646,92310,canoas,RS,646
